iter	MultiClass
0	0.9486758926
1	0.8418368715
2	0.7508420788
3	0.6754390298
4	0.6169254583
5	0.5661865688
6	0.5214121104
7	0.4862886993
8	0.4531768026
9	0.4231926184
10	0.3973426841
11	0.3744757035
12	0.353714915
13	0.3328206912
14	0.3170564747
15	0.3009325011
16	0.2867694136
17	0.2735093645
18	0.261634496
19	0.2497878286
20	0.2399383329
21	0.2307127204
22	0.2226795447
23	0.2143466269
24	0.207652333
25	0.2015676682
26	0.1958039788
27	0.1896654249
28	0.1839983729
29	0.1790194776
30	0.1744884367
31	0.1701684912
32	0.1660359503
33	0.162749818
34	0.1584010307
35	0.1553232136
36	0.1515008457
37	0.1491586584
38	0.1455448791
39	0.142561102
40	0.1397819808
41	0.137490103
42	0.1351180727
43	0.1327586716
44	0.1302382885
45	0.1276512239
46	0.125600613
47	0.1234478586
48	0.1214005759
49	0.1199164127
50	0.1183027966
51	0.1161989761
52	0.1145313403
53	0.1125011762
54	0.111170502
55	0.1095618997
56	0.1074782318
57	0.1057571964
58	0.1045294668
59	0.1029047754
60	0.1013596199
61	0.1000884495
62	0.09879169554
63	0.09742011765
64	0.09584489771
65	0.09443209964
66	0.0933522999
67	0.09196685813
68	0.090682644
69	0.0895482995
70	0.08829714365
71	0.08720285597
72	0.08614794388
73	0.08511936731
74	0.08413225177
75	0.0831554864
76	0.08216898681
77	0.08122868899
78	0.08021507658
79	0.07919271056
80	0.0783134891
81	0.07732254583
82	0.07643538854
83	0.07541100547
84	0.07432177337
85	0.0733495448
86	0.07242469717
87	0.07142475711
88	0.07042989403
89	0.06958198385
90	0.06877208396
91	0.06786019093
92	0.06717205788
93	0.06638694621
94	0.06562794159
95	0.06493753182
96	0.06419017572
97	0.06348608431
98	0.06273688774
99	0.06215837312
