iter	Passed	Remaining
0	1	127
1	1	96
2	3	105
3	5	125
4	5	113
5	8	127
6	10	135
7	12	141
8	14	145
9	16	149
10	17	143
11	19	145
12	22	147
13	24	148
14	25	143
15	27	144
16	30	146
17	32	148
18	35	149
19	37	149
20	39	148
21	41	148
22	44	147
23	46	146
24	48	146
25	51	145
26	53	144
27	55	143
28	58	142
29	60	140
30	63	140
31	65	138
32	67	137
33	70	135
34	72	134
35	74	132
36	77	131
37	79	129
38	81	127
39	83	125
40	86	124
41	88	122
42	91	120
43	93	119
44	95	117
45	98	115
46	100	113
47	103	111
48	105	109
49	107	107
50	110	105
51	112	103
52	114	101
53	117	99
54	119	97
55	121	95
56	124	93
57	126	91
58	128	89
59	131	87
60	133	85
61	136	83
62	138	81
63	141	79
64	143	77
65	146	75
66	148	73
67	150	71
68	153	68
69	155	66
70	157	64
71	160	62
72	162	60
73	164	57
74	167	55
75	169	53
76	172	51
77	174	49
78	176	46
79	178	44
80	181	42
81	183	40
82	186	38
83	188	35
84	191	33
85	193	31
86	195	29
87	198	27
88	200	24
89	202	22
90	205	20
91	207	18
92	210	15
93	212	13
94	214	11
95	217	9
96	219	6
97	221	4
98	224	2
99	226	0
